,X,ensembl_gene_id,ensembl_transcript_id,chromosome_name,start_position,end_position,strand,transcript_start,transcript_end,Length.AM,EffectiveLength.AM,NumReads.AM,Length.OF,EffectiveLength.OF,NumReads.OF,Length.IBM,EffectiveLength.IBM,NumReads.IBM,Length.IAM,EffectiveLength.IAM,NumReads.IAM,Length.SAM6D,EffectiveLength.SAM6D,NumReads.SAM6D,Length.SAM17D,EffectiveLength.SAM17D,NumReads.SAM17D,Length.SAM38D,EffectiveLength.SAM38D,NumReads.SAM38D,Length.RootTip,EffectiveLength.RootTip,NumReads.RootTip,Length.Callus,EffectiveLength.Callus,NumReads.Callus,Length.Hypocotyl,EffectiveLength.Hypocotyl,NumReads.Hypocotyl,Length.Cotyledon,EffectiveLength.Cotyledon,NumReads.Cotyledon,Length.Leaf,EffectiveLength.Leaf,NumReads.Leaf,Length.Root,EffectiveLength.Root,NumReads.Root,Length.Nodule,EffectiveLength.Nodule,NumReads.Nodule,variable,TPM
1,1,Glyma.01G002100,KRH74146,1,291328,297375,-1,292533,297250,3207,2958,107.873,3207,2958,82.065,3207,2958,0,3207,2958,0,3207,2958,0,3207,2958,472.989,3207,2958,15.089,3207,2958,23.991,3207,2958,0,3207,2958,514.076,3207,2958,0,3207,2957,0,3207,2957,0,3207,2957,0,TPM.AM,0.835179
2,1,Glyma.01G002100,KRH74146,1,291328,297375,-1,292533,297250,3207,2958,107.873,3207,2958,82.065,3207,2958,0,3207,2958,0,3207,2958,0,3207,2958,472.989,3207,2958,15.089,3207,2958,23.991,3207,2958,0,3207,2958,514.076,3207,2958,0,3207,2957,0,3207,2957,0,3207,2957,0,TPM.OF,0.651092
3,1,Glyma.01G002100,KRH74146,1,291328,297375,-1,292533,297250,3207,2958,107.873,3207,2958,82.065,3207,2958,0,3207,2958,0,3207,2958,0,3207,2958,472.989,3207,2958,15.089,3207,2958,23.991,3207,2958,0,3207,2958,514.076,3207,2958,0,3207,2957,0,3207,2957,0,3207,2957,0,TPM.IAM,0
4,1,Glyma.01G002100,KRH74146,1,291328,297375,-1,292533,297250,3207,2958,107.873,3207,2958,82.065,3207,2958,0,3207,2958,0,3207,2958,0,3207,2958,472.989,3207,2958,15.089,3207,2958,23.991,3207,2958,0,3207,2958,514.076,3207,2958,0,3207,2957,0,3207,2957,0,3207,2957,0,TPM.IBM,0
5,1,Glyma.01G002100,KRH74146,1,291328,297375,-1,292533,297250,3207,2958,107.873,3207,2958,82.065,3207,2958,0,3207,2958,0,3207,2958,0,3207,2958,472.989,3207,2958,15.089,3207,2958,23.991,3207,2958,0,3207,2958,514.076,3207,2958,0,3207,2957,0,3207,2957,0,3207,2957,0,TPM.RootTip,0.082109
6,1,Glyma.01G002100,KRH74146,1,291328,297375,-1,292533,297250,3207,2958,107.873,3207,2958,82.065,3207,2958,0,3207,2958,0,3207,2958,0,3207,2958,472.989,3207,2958,15.089,3207,2958,23.991,3207,2958,0,3207,2958,514.076,3207,2958,0,3207,2957,0,3207,2957,0,3207,2957,0,TPM.Cotyledon,0
7,1,Glyma.01G002100,KRH74146,1,291328,297375,-1,292533,297250,3207,2958,107.873,3207,2958,82.065,3207,2958,0,3207,2958,0,3207,2958,0,3207,2958,472.989,3207,2958,15.089,3207,2958,23.991,3207,2958,0,3207,2958,514.076,3207,2958,0,3207,2957,0,3207,2957,0,3207,2957,0,TPM.Hypocotyl,2.170641
8,1,Glyma.01G002100,KRH74146,1,291328,297375,-1,292533,297250,3207,2958,107.873,3207,2958,82.065,3207,2958,0,3207,2958,0,3207,2958,0,3207,2958,472.989,3207,2958,15.089,3207,2958,23.991,3207,2958,0,3207,2958,514.076,3207,2958,0,3207,2957,0,3207,2957,0,3207,2957,0,TPM.SAM6D,0
9,1,Glyma.01G002100,KRH74146,1,291328,297375,-1,292533,297250,3207,2958,107.873,3207,2958,82.065,3207,2958,0,3207,2958,0,3207,2958,0,3207,2958,472.989,3207,2958,15.089,3207,2958,23.991,3207,2958,0,3207,2958,514.076,3207,2958,0,3207,2957,0,3207,2957,0,3207,2957,0,TPM.SAM17D,3.524888
10,1,Glyma.01G002100,KRH74146,1,291328,297375,-1,292533,297250,3207,2958,107.873,3207,2958,82.065,3207,2958,0,3207,2958,0,3207,2958,0,3207,2958,472.989,3207,2958,15.089,3207,2958,23.991,3207,2958,0,3207,2958,514.076,3207,2958,0,3207,2957,0,3207,2957,0,3207,2957,0,TPM.SAM38D,0.121896
11,1,Glyma.01G002100,KRH74146,1,291328,297375,-1,292533,297250,3207,2958,107.873,3207,2958,82.065,3207,2958,0,3207,2958,0,3207,2958,0,3207,2958,472.989,3207,2958,15.089,3207,2958,23.991,3207,2958,0,3207,2958,514.076,3207,2958,0,3207,2957,0,3207,2957,0,3207,2957,0,TPM.Callus,0
12,1,Glyma.01G002100,KRH74146,1,291328,297375,-1,292533,297250,3207,2958,107.873,3207,2958,82.065,3207,2958,0,3207,2958,0,3207,2958,0,3207,2958,472.989,3207,2958,15.089,3207,2958,23.991,3207,2958,0,3207,2958,514.076,3207,2958,0,3207,2957,0,3207,2957,0,3207,2957,0,TPM.Leaf,0
13,1,Glyma.01G002100,KRH74146,1,291328,297375,-1,292533,297250,3207,2958,107.873,3207,2958,82.065,3207,2958,0,3207,2958,0,3207,2958,0,3207,2958,472.989,3207,2958,15.089,3207,2958,23.991,3207,2958,0,3207,2958,514.076,3207,2958,0,3207,2957,0,3207,2957,0,3207,2957,0,TPM.Root,0
14,1,Glyma.01G002100,KRH74146,1,291328,297375,-1,292533,297250,3207,2958,107.873,3207,2958,82.065,3207,2958,0,3207,2958,0,3207,2958,0,3207,2958,472.989,3207,2958,15.089,3207,2958,23.991,3207,2958,0,3207,2958,514.076,3207,2958,0,3207,2957,0,3207,2957,0,3207,2957,0,TPM.Nodule,0
15,2,Glyma.01G002100,KRH74145,1,291328,297375,-1,291328,297375,4096,3847,1707.792,4096,3847,1818.51,4096,3847,1612.548,4096,3847,1725.395,4096,3847,1599.419,4096,3847,1413.009,4096,3847,925.003,4096,3847,2301.112,4096,3847,1699.513,4096,3847,3839.713,4096,3847,2092.662,4096,3846,114.251,4096,3846,179.49,4096,3846,48.888,TPM.AM,10.166688
16,2,Glyma.01G002100,KRH74145,1,291328,297375,-1,291328,297375,4096,3847,1707.792,4096,3847,1818.51,4096,3847,1612.548,4096,3847,1725.395,4096,3847,1599.419,4096,3847,1413.009,4096,3847,925.003,4096,3847,2301.112,4096,3847,1699.513,4096,3847,3839.713,4096,3847,2092.662,4096,3846,114.251,4096,3846,179.49,4096,3846,48.888,TPM.OF,11.093702
17,2,Glyma.01G002100,KRH74145,1,291328,297375,-1,291328,297375,4096,3847,1707.792,4096,3847,1818.51,4096,3847,1612.548,4096,3847,1725.395,4096,3847,1599.419,4096,3847,1413.009,4096,3847,925.003,4096,3847,2301.112,4096,3847,1699.513,4096,3847,3839.713,4096,3847,2092.662,4096,3846,114.251,4096,3846,179.49,4096,3846,48.888,TPM.IAM,9.940766
18,2,Glyma.01G002100,KRH74145,1,291328,297375,-1,291328,297375,4096,3847,1707.792,4096,3847,1818.51,4096,3847,1612.548,4096,3847,1725.395,4096,3847,1599.419,4096,3847,1413.009,4096,3847,925.003,4096,3847,2301.112,4096,3847,1699.513,4096,3847,3839.713,4096,3847,2092.662,4096,3846,114.251,4096,3846,179.49,4096,3846,48.888,TPM.IBM,11.778406
19,2,Glyma.01G002100,KRH74145,1,291328,297375,-1,291328,297375,4096,3847,1707.792,4096,3847,1818.51,4096,3847,1612.548,4096,3847,1725.395,4096,3847,1599.419,4096,3847,1413.009,4096,3847,925.003,4096,3847,2301.112,4096,3847,1699.513,4096,3847,3839.713,4096,3847,2092.662,4096,3846,114.251,4096,3846,179.49,4096,3846,48.888,TPM.RootTip,6.055558
20,2,Glyma.01G002100,KRH74145,1,291328,297375,-1,291328,297375,4096,3847,1707.792,4096,3847,1818.51,4096,3847,1612.548,4096,3847,1725.395,4096,3847,1599.419,4096,3847,1413.009,4096,3847,925.003,4096,3847,2301.112,4096,3847,1699.513,4096,3847,3839.713,4096,3847,2092.662,4096,3846,114.251,4096,3846,179.49,4096,3846,48.888,TPM.Cotyledon,6.293037
21,2,Glyma.01G002100,KRH74145,1,291328,297375,-1,291328,297375,4096,3847,1707.792,4096,3847,1818.51,4096,3847,1612.548,4096,3847,1725.395,4096,3847,1599.419,4096,3847,1413.009,4096,3847,925.003,4096,3847,2301.112,4096,3847,1699.513,4096,3847,3839.713,4096,3847,2092.662,4096,3846,114.251,4096,3846,179.49,4096,3846,48.888,TPM.Hypocotyl,12.466244
22,2,Glyma.01G002100,KRH74145,1,291328,297375,-1,291328,297375,4096,3847,1707.792,4096,3847,1818.51,4096,3847,1612.548,4096,3847,1725.395,4096,3847,1599.419,4096,3847,1413.009,4096,3847,925.003,4096,3847,2301.112,4096,3847,1699.513,4096,3847,3839.713,4096,3847,2092.662,4096,3846,114.251,4096,3846,179.49,4096,3846,48.888,TPM.SAM6D,8.948254
